Average Weekday Subway Ridership,,,,,,,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank,,,,,,,,
Kings Hwy (N),25,B,"1,489","2,891","3,328","4,363","2,115","2,720",605,28.6%,266,,,,,,,,
Kingston Av (3),,B,"4,977","4,703","4,623","4,697","1,958","2,353",395,20.2%,301,,,,,,,,
Kingston-Throop Avs (C),,B,"6,350","6,564","6,585","6,643","2,473","2,891",418,16.9%,255,,,,,,,,
Knickerbocker Av (M),26,B,"4,228","2,077","2,446","4,522","1,978","2,204",226,11.4%,316,,,,,,,,
Kosciuszko St (J),,B,"5,118","6,143","6,144","5,562","2,220","2,649",429,19.3%,278,,,,,,,,
Lafayette Av (C),,B,"4,888","4,843","4,889","4,928","1,860","2,350",490,26.4%,302,,,,,,,,
Liberty Av (C),,B,"3,020","2,933","2,754","2,749","1,238","1,307",69,5.5%,386,,,,,,,,
Livonia Av (L),,B,"3,418","3,264","3,209","2,831","1,467","1,317",-150,-10.2%,383,,,,,,,,
"Lorimer St (J,M)",,B,"5,138","5,161","4,837","5,216","2,170","2,361",191,8.8%,300,,,,,,,,
Lorimer St (L)/Metropolitan Av (G),,B,"15,082","14,752","14,299","13,985","5,150","6,893","1,744",33.9%,93,,,,,,,,
"Marcy Av (J,M,Z)",,B,"13,815","13,377","13,315","14,255","5,628","6,476",848,15.1%,103,,,,,,,,
Montrose Av (L),,B,"7,007","7,021","6,884","6,515","2,661","3,512",851,32.0%,218,,,,,,,,
Morgan Av (L),,B,"7,592","7,769","7,510","6,944","2,732","3,532",800,29.3%,216,,,,,,,,
